,0,1
1,AMR-to-Text生成,['文本生成']
2,AMR解析,['句法分析']
3,CT降噪,['图像去噪']
4,CT重建,['图像恢复']
5,sEMG重建,['场景重建']
6,SLAM优化,['图像增强']
7,阿尔兹海默症分类,['医学影像分割']
8,安全带检测,['目标检测']
9,安全帽检测,['目标检测']
10,安全帽佩戴检测,['目标检测']
11,安全状况评估,['决策分析']
12,靶区分割,['医学影像分割']
14,壁画分割,['图像分割']
15,壁画修复,['图像恢复']
16,边缘检测,['边缘检测']
17,变种分类,['图像分类']
18,标签分类,['文档分类']
19,标签完备,['图像配准']
20,标题生成,['文本生成']
21,标志识别,['图像识别']
22,表情识别,['面部表情识别']
23,表示学习,['知识表示']
25,并发症预测,['预测分析']
26,病害检测,['目标检测']
27,病害识别,['图像识别']
28,病灶分割,['医学影像分割']
30,步态识别,['动作识别']
31,草图检索,['图像识别']
32,草图生成,['图像生成']
33,草图识别,['图像识别']
34,测量,['移动测图']
35,层次分割,['句法分析']
36,产量预测,['预测分析']
37,场景分割,['实例分割']
38,场景分类,['图像分类']
39,场景文本擦除,['增强图像边缘']
40,场景预测,['场景重建']
41,超分辨率,['图像增强']
42,超分辨率分析,['图像增强']
43,超分辨率复原,['图像恢复']
44,超分辨率网络,['图像增强']
45,超分辨率重建,['图像恢复']
49,超声分类,['图像分类']
50,超声甲状腺分割,['医学影像分割']
51,车道线检测,['交通控制系统']
52,车辆检测,['图像检测']
53,车辆识别,['图像识别']
54,车辆重识别,['图像识别']
55,车牌定位,['图像识别']
56,车牌分割,['图像分割']
57,车牌识别,['图像识别']
58,车型识别,['图像识别']
59,城市交通信号控制,['交通控制系统']
60,船舶检测,['目标检测']
61,唇语识别,['语音识别']
62,词典构建,['词干提取']
63,词法分析,['句法分析']
64,词干提取,['词干提取']
65,答案选择,['问答系统']
66,答题求解,['知识图谱']
67,单词识别,['文本分割']
68,单字词检错,['句法分析']
69,导航,['决策分析']
70,道路提取,['语义分割']
71,地图构建,['场景重建']
72,地图重构,['场景重建']
73,地物提取,['语义分割']
74,低光增强,['图像增强']
75,点云补全,['图像增强']
76,点云分割,['图像分割']
77,点云分类,['图像分类']
78,点云分析,['决策分析']
79,点云配准,['图像配准']
81,点云修复技术,['图像恢复']
82,点云姿态迁移,['图像融合']
83,电池荷电状态预测,['预测分析']
84,电线识别,['图像识别']
85,调度优化,['决策分析']
86,跌倒检测,['动作识别']
87,订单量预测,['预测分析']
88,动态避障,['自动驾驶汽车']
89,动态识别,['动作识别']
90,动作定位,['动作识别']
91,动作识别,['动作识别']
92,动作预测,['动作识别']
93,短期电力负荷预测,['预测分析']
94,短语抽取,['信息抽取']
95,短语识别,['信息抽取']
96,短语提取,['词干提取']
97,对话任务,['问答系统']
98,对话生成,['问答系统']
99,对抗攻击防御,['决策分析']
100,对抗样本生成,['文本生成']
101,多标签分类,['文档分类']
102,多目标鲁棒优化设计,['最优化']
103,多目标优化,['最优化']
104,恶意代码分类,['文档分类']
105,恶意代码检测,['文档分类']
106,发病趋势预测,['预测分析']
107,发音偏误确认,['词义消歧']
108,法向估计,['姿势估计']
109,反讽识别,['情感分析']
110,方程快速求解,['几何变换']
111,方面词提取,['词干提取']
112,房价智能评估,['决策分析']
113,仿真生成,['图像生成']
114,肺结节分割,['医学影像分割']
115,肺结节检测,['目标检测']
116,肺裂分割,['医学影像分割'']
118,分词,['语义分割']
119,分割,['图像分割']
120,分类,['图像分类']
121,分类检测,['目标检测']
122,风格迁移,['图像融合']
123,风险评估,['决策分析']
124,服装变形预测,['预测分析']
125,服装检索,['文档分类']
126,辅助诊断,['决策分析']
127,负荷预测,['预测分析']
128,复合物识别,['命名实体识别']
129,改写检测,['目标检测']
130,钢液检测,['图像检测']
131,跟踪识别,['追踪识别']
132,公式识别,['图像识别']
133,功率预测,['预测分析']
134,购买力预测,['预测分析']
135,古壁画朝代识别,['图像识别']
136,古文断句,['句法分析']
137,股票趋势预测,['预测分析']
138,股票收益预测,['预测分析']
139,股市波动预测,['预测分析']
140,故事线抽取,['关系抽取']
141,故障采样,['图像检测']
142,故障检测,['图像检测']
143,故障识别,['图像识别']
145,故障诊断,['计算机视觉应用']
148,关键词提取,['词干提取']
149,关键点定位,['图像检测']
150,关键点检测,['图像检测']
151,关节点修复,['图像恢复']
152,关系抽取,['关系抽取']
153,关系分类,['文档分类']
154,关系分析,['句法分析']
155,关系识别,['关系抽取']
156,关系提取,['关系抽取']
157,关系体系转换,['关系抽取']
159,观点分析,['情感分析']
160,观点句识别,['句法分析']
161,光伏板积灰程度识别,['图像识别']
162,硅片刻蚀深度预测,['预测分析']
163,轨迹规划,['参数规划']
164,轨迹控制,['参数规划']
165,轨迹匹配,['参数规划']
166,轨迹预测,['参数规划']
167,轨迹预测 ,['参数规划']
168,哈希检索,['关系抽取']
169,海马体分割,['医学影像分割']
170,海洋锋检测,['目标检测']
171,害虫检测,['目标检测']
172,汉字生成,['文本生成']
173,汉字识别,['图像识别']
174,航迹规划,['参数规划']
175,航迹预测,['参数规划']
176,航路规划,['参数规划']
177,湖泊提取,['图像识别']
178,划痕识别,['图像识别']
179,画像合成,['图像生成']
180,话题分割,['句法分析']
181,话题检测与追踪,['追踪识别']
182,话题演化跟踪,['追踪识别']
183,灰尘检测,['图像检测']
184,回复检索,['文档分类']
185,回复生成,['问答系统']
186,活体检测,['图像检测']
187,火焰检测,['图像检测']
188,火灾识别,['动作识别']
189,机构名翻译,['机器翻译']
190,机器翻译,['机器翻译']
191,基因剪接位点识别,['医学影像分割']
192,基因型填补,['医学影像分割']
193,级联预测,['决策分析']
194,疾病预测,['决策分析']
195,甲状腺分割,['医学影像分割']
196,检测,['目标检测']
197,检索,['词干提取']
198,建筑检测,['图像检测']
199,交通标志检测,['图像检测']
200,交通流量预测,['预测分析']
201,交通流预测,['预测分析']
202,角色标注,['图像自动标注']
203,角色识别,['动作识别']
204,结构识别,['图像识别']
