head_entity,head_type,relation,tail_type,tail_entity
1,paper,use,method,深度卷积神经网络
1,paper,focus,problems,肺结节检测
肺结节检测,problems,solve,method,深度卷积神经网络
2,paper,use,method,3D卷积
2,paper,focus,problems,图像分类
图像分类,problems,solve,method,3D卷积
3,paper,use,method,灰度矩阵
3,paper,focus,problems,图像识别
图像识别,problems,solve,method,灰度矩阵
4,paper,use,method,AS-PANet
4,paper,use,method,路径增强网络
4,paper,focus,problems,实例分割
实例分割,problems,solve,method,AS-PANet
实例分割,problems,solve,method,路径增强网络
5,paper,use,method,BEMD分解
5,paper,use,method,W变换
5,paper,focus,problems,图像融合
图像融合,problems,solve,method,BEMD分解
图像融合,problems,solve,method,W变换
6,paper,focus,problems,语义分割
7,paper,use,method,Edge-guided GAN
7,paper,focus,problems,图像修复
图像修复,problems,solve,method,Edge-guided GAN
8,paper,use,method,Adaboost
8,paper,focus,problems,人脸检测
人脸检测,problems,solve,method,Adaboost
9,paper,use,method,RGB-D
9,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,RGB-D
10,paper,use,method,RGB-D
10,paper,focus,problems,语义分割
语义分割,problems,solve,method,RGB-D
11,paper,use,method,U-Net
11,paper,focus,problems,图像分割
图像分割,problems,solve,method,U-Net
12,paper,use,method,YOLOv3
12,paper,focus,problems,图像分类
图像分类,problems,solve,method,YOLOv3
13,paper,use,method,YOLOv3
13,paper,focus,problems,姿态估计
姿态估计,problems,solve,method,YOLOv3
14,paper,use,method,Transformer
14,paper,focus,problems,表情识别
表情识别,problems,solve,method,Transformer
15,paper,use,method,卷积核金字塔
15,paper,use,method,空洞卷积
15,paper,focus,problems,目标检测
目标检测,problems,solve,method,卷积核金字塔
目标检测,problems,solve,method,空洞卷积
16,paper,use,method,空注意力机制
16,paper,focus,problems,表情识别
表情识别,problems,solve,method,空注意力机制
17,paper,use,method,双尺度图像分解
17,paper,focus,problems,图像增强
图像增强,problems,solve,method,双尺度图像分解
18,paper,use,method,时空图卷积
18,paper,focus,problems,动作识别
动作识别,problems,solve,method,时空图卷积
19,paper,use,method,残差密集空间金字塔网络
19,paper,focus,problems,图像分割
图像分割,problems,solve,method,残差密集空间金字塔网络
20,paper,use,method,残差密集注意力网络
20,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,残差密集注意力网络
21,paper,use,method,RGB-D
21,paper,focus,problems,显著性检测
显著性检测,problems,solve,method,RGB-D
22,paper,use,method,CNN
22,paper,use,method,Transformer
22,paper,focus,problems,深度伪造高效检测
深度伪造高效检测,problems,solve,method,CNN
深度伪造高效检测,problems,solve,method,Transformer
23,paper,use,method,2D级联CNN
23,paper,focus,problems,自动分割
自动分割,problems,solve,method,2D级联CNN
24,paper,use,method,LFSCA-UNet
24,paper,use,method,注意力机制
24,paper,focus,problems,区域分割
区域分割,problems,solve,method,LFSCA-UNet
区域分割,problems,solve,method,注意力机制
25,paper,focus,problems,血管提取
26,paper,use,method,自适应梯度稀疏模型
26,paper,focus,problems,图像去模糊
图像去模糊,problems,solve,method,自适应梯度稀疏模型
27,paper,use,method,CGAN
27,paper,focus,problems,图像配准
图像配准,problems,solve,method,CGAN
28,paper,use,method,对抗学习
28,paper,focus,problems,图像场景识别
图像场景识别,problems,solve,method,对抗学习
29,paper,use,method,多残差联合学习
29,paper,focus,problems,图像增强
图像增强,problems,solve,method,多残差联合学习
30,paper,use,method,残差卷积网络
30,paper,focus,problems,超分重建
超分重建,problems,solve,method,残差卷积网络
31,paper,use,method,CNN
31,paper,focus,problems,语义分割
语义分割,problems,solve,method,CNN
32,paper,use,method,多尺度分解
32,paper,use,method,八度卷积
32,paper,focus,problems,图像融合
图像融合,problems,solve,method,多尺度分解
图像融合,problems,solve,method,八度卷积
33,paper,use,method,残差网络
33,paper,focus,problems,图像去雨
图像去雨,problems,solve,method,残差网络
34,paper,use,method,卷积神经网络
34,paper,focus,problems,物体检测
物体检测,problems,solve,method,卷积神经网络
35,paper,use,method,残差网络
35,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,残差网络
36,paper,use,method,生成对抗网络
36,paper,focus,problems,图像分割
图像分割,problems,solve,method,生成对抗网络
37,paper,use,method,注意力网络
37,paper,focus,problems,图像重建
图像重建,problems,solve,method,注意力网络
38,paper,use,method,条形池化
38,paper,use,method,通道注意力
38,paper,focus,problems,语义分割
语义分割,problems,solve,method,条形池化
语义分割,problems,solve,method,通道注意力
39,paper,use,method,注意力
39,paper,focus,problems,行人再识别
行人再识别,problems,solve,method,注意力
40,paper,use,method,卷积特征金字塔
40,paper,focus,problems,图片识别
图片识别,problems,solve,method,卷积特征金字塔
41,paper,use,method,卷积神经网络
41,paper,focus,problems,轮廓感知
轮廓感知,problems,solve,method,卷积神经网络
42,paper,use,method,多任务学习
42,paper,use,method,对抗学习
42,paper,focus,problems,表情识别
表情识别,problems,solve,method,多任务学习
表情识别,problems,solve,method,对抗学习
43,paper,use,method,残差优化
43,paper,focus,problems,语义分割
语义分割,problems,solve,method,残差优化
44,paper,use,method,递归残差网络
44,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,递归残差网络
